#  i 	 comp[i] 	 x[comp[i]] 
   0 	  135 	         0.00012599 
   1 	  177 	        -0.00038645 
   2 	   19 	         0.00013658 
   3 	  177 	        -0.00038645 
   4 	   79 	         0.00008521 
   5 	   63 	        -0.00017081 
   6 	   87 	         0.00005626 
   7 	  177 	        -0.00038645 
   8 	  225 	         0.00015826 
   9 	   29 	        -0.00016641 
  10 	   55 	         0.00022329 
  11 	  189 	         0.00033776 
  12 	  229 	         0.00020482 
  13 	   69 	        -0.00025950 
  14 	  184 	        -0.00016586 
  15 	  184 	        -0.00016586 
  16 	   19 	         0.00013658 
  17 	  168 	         0.00017431 
  18 	   35 	        -0.00016540 
  19 	  177 	        -0.00038645 
  20 	  204 	         0.00032190 
  21 	  181 	         0.00019299 
  22 	  204 	         0.00032190 
  23 	  164 	         0.00019730 
  24 	  110 	         0.00014443 
  25 	   12 	         0.00013070 
  26 	  163 	         0.00010113 
  27 	  178 	        -0.00006926 
  28 	   19 	         0.00013658 
  29 	   17 	         0.00016498 
  30 	  174 	        -0.00015796 
  31 	  164 	         0.00019730 
  32 	   49 	         0.00015986 
  33 	  130 	        -0.00009237 
  34 	    2 	        -0.00015940 
  35 	  204 	         0.00032190 
  36 	  229 	         0.00020482 
  37 	   46 	        -0.00010136 
  38 	  204 	         0.00032190 
  39 	  175 	        -0.00023181 
  40 	  177 	        -0.00038645 
  41 	   40 	         0.00016026 
  42 	   39 	        -0.00014210 
  43 	   57 	         0.00017879 
  44 	   52 	        -0.00011773 
  45 	  181 	         0.00019299 
  46 	  189 	         0.00033776 
  47 	  177 	        -0.00038645 
  48 	  177 	        -0.00038645 
  49 	  114 	        -0.00015306 
